LPCOutletTemp,HPCOutletTemp,LPTOutletTemp,TotalHPCOutletPres,PhysFanSpeed,PhysCoreSpeed,StaticHPCOutletPres,FuelFlowRatio,CorrFanSpeed,CorrCoreSpeed,BypassRatio,BleedEnthalpy,HPTCoolantBleed,LPTCoolantBleed
642.114,1585.412,1392.852,554.4,2388.004,9051.906,47.15,522.52,2388.012,8138.52,8.40272,391.2,38.998,23.42866
642.128,1584.852,1393.394,554.422,2388.008,9052.532,47.146,522.484,2388.014,8139.422,8.39854,391,39.006,23.39558
642.172,1584.082,1393.84,554.482,2387.998,9051.466,47.15,522.45,2388.012,8138.74,8.40072,391.2,38.994,23.41452
642.062,1584.776,1393.216,554.454,2388.002,9053.174,47.16,522.464,2388.018,8138.73,8.38854,391,39.028,23.39616
641.99,1582.846,1395.84,554.47,2388.01,9052.77,47.146,522.42,2388.006,8138.622,8.3867,391.2,39.058,23.42724
641.968,1583.008,1396.276,554.664,2388.018,9054.06,47.13,522.412,2388.004,8138.552,8.382,391.2,39.032,23.40996
642.066,1583.106,1397.432,554.528,2388.018,9052.606,47.156,522.464,2387.994,8137.196,8.38264,391.4,38.988,23.42488
642.018,1584.832,1397.832,554.45,2388.016,9052.146,47.11,522.426,2387.986,8136.904,8.37928,391.6,38.996,23.4274
642.092,1583.546,1398.39,554.548,2388.008,9050.646,47.098,522.374,2387.984,8136.674,8.37848,391.6,38.938,23.41526
642.142,1584.23,1398.21,554.484,2388.014,9048.184,47.108,522.372,2387.994,8137.126,8.3817,391.8,38.966,23.38918
642.198,1585.092,1397.298,554.382,2388.018,9047.858,47.12,522.46,2387.998,8137.092,8.39574,392,38.98,23.40318
642.076,1585.956,1396.626,554.552,2388.016,9048.83,47.1,522.406,2388.008,8137.66,8.39004,392.2,39.008,23.39518
641.994,1584.726,1397.572,554.542,2388.014,9049.706,47.108,522.392,2388.016,8138.346,8.39658,392.2,39.012,23.3922
641.972,1585.132,1397.63,554.522,2388.022,9050.762,47.136,522.4,2388.018,8139.332,8.40006,392.4,39.058,23.39528
642.024,1586.194,1396.784,554.628,2388.008,9053.79,47.14,522.398,2388.016,8139.564,8.39728,392,39.062,23.41392
641.94,1585.728,1397.406,554.508,2388,9053.038,47.15,522.344,2388.022,8139.506,8.38968,391.8,39.07,23.40422
641.994,1583.898,1397.78,554.514,2388,9052.702,47.172,522.274,2388.018,8139.614,8.4015,391.6,39.046,23.40526
642.092,1584.594,1397.042,554.582,2388,9051.566,47.194,522.16,2388.014,8138.898,8.39524,391.8,39.05,23.43452
642.19,1586.464,1397.118,554.564,2387.994,9050.392,47.166,522.216,2388.01,8138.25,8.398,391.8,39,23.4459
642.132,1585.384,1396.64,554.652,2388.008,9051.238,47.21,522.33,2388.006,8138.402,8.396,391.8,38.994,23.43964
642.308,1584.824,1398.612,554.872,2388.014,9053.88,47.19,522.254,2387.988,8138.372,8.3995,391.6,38.996,23.4451
642.376,1586.692,1397.292,554.982,2388.024,9056.79,47.18,522.336,2387.994,8138.414,8.39622,391.8,39.03,23.4527
642.354,1585.426,1397.21,554.756,2388.036,9058.608,47.19,522.436,2387.99,8137.154,8.40626,391.6,38.984,23.41008
642.23,1584.684,1396.552,554.844,2388.032,9061.62,47.18,522.448,2387.992,8136.398,8.40342,391.4,39.096,23.40658
642.124,1584.526,1397.176,554.944,2388.026,9060.328,47.116,522.162,2388,8137.02,8.4079,391.4,39.112,23.41798
641.952,1585.782,1396.28,554.792,2388.028,9058.438,47.152,522.252,2388.008,8136.992,8.39842,391.2,39.094,23.41594
641.896,1585.006,1397.432,554.702,2388.016,9057.518,47.142,522.29,2387.998,8137.442,8.40086,391,39.072,23.43328
641.83,1585.798,1396.554,554.89,2388.014,9056.482,47.122,522.258,2388.008,8138.576,8.39286,390.8,39.078,23.44462
641.992,1585.224,1397.35,554.812,2388.012,9055.338,47.128,522.264,2388.022,8140.102,8.39232,391,39.018,23.445
642.202,1585.04,1397.504,554.57,2388.01,9054.03,47.186,522.442,2388.028,8138.84,8.39696,390.8,38.98,23.4546
642.222,1584.624,1396.928,554.514,2388.006,9054.03,47.126,522.502,2388.034,8139.35,8.40442,391.2,38.966,23.46288
642.074,1583.512,1396.514,554.444,2388.008,9053.094,47.136,522.37,2388.04,8139.054,8.39562,391.4,38.976,23.43726
642.1,1581.322,1397.686,554.358,2388,9052.806,47.156,522.294,2388.03,8139.412,8.3925,391.6,39.018,23.45676
642.03,1582.71,1397.944,554.456,2388.008,9052.194,47.182,522.346,2388.022,8139.394,8.39948,391.2,39.018,23.43724
642.082,1583.616,1396.596,554.566,2388.012,9052.518,47.14,522.434,2388.012,8138.314,8.402,391.2,39.04,23.42994
642.106,1583.168,1395.428,554.572,2388.026,9053.864,47.168,522.368,2388.01,8137.102,8.4013,391,39.11,23.42952
642.142,1584.998,1394.834,554.61,2388.022,9054.798,47.184,522.406,2388.016,8136.658,8.40666,391,39.116,23.442
642.044,1585.774,1394.772,554.694,2388.03,9055.336,47.168,522.524,2388.016,8136.614,8.41426,391,39.118,23.43158
642.138,1582.014,1395.572,554.47,2388.04,9056.292,47.13,522.466,2388.012,8136.518,8.40512,391,39.108,23.46038
642.01,1580.768,1397.276,554.362,2388.034,9055.794,47.144,522.356,2388.014,8136.062,8.39918,391.2,39.102,23.45826
641.992,1580.212,1398.16,554.466,2388.022,9054.542,47.156,522.386,2388.022,8136.488,8.39918,391.2,39.028,23.47146
642.07,1579.772,1399.15,554.578,2388.022,9054.22,47.146,522.47,2388.014,8136.626,8.40266,391.4,39.004,23.46854
642.19,1579.398,1398.328,554.432,2388.026,9054.966,47.14,522.456,2388.016,8137.82,8.39506,391,38.96,23.47456
642.05,1581.95,1398.362,554.56,2388.01,9054.532,47.13,522.496,2388.014,8137.292,8.39344,391.2,38.952,23.45068
642.07,1582.016,1398.156,554.684,2388.002,9055.648,47.142,522.55,2388.006,8138.384,8.39452,391.4,38.934,23.4395
642.038,1583.038,1398.62,554.628,2388,9055.99,47.092,522.418,2388.002,8139.202,8.39466,391.6,38.976,23.39178
642.072,1581.808,1398.112,554.528,2388.012,9055.082,47.104,522.296,2388,8137.904,8.38878,391.4,38.986,23.40088
642.008,1583.99,1399.548,554.574,2387.998,9053.91,47.126,522.316,2388.008,8137.258,8.39766,391.8,39.006,23.38064
641.966,1585.328,1398.624,554.612,2388,9052.916,47.19,522.17,2388.012,8137.71,8.40948,391.8,39.006,23.39982
641.886,1585.994,1399.498,554.546,2388.01,9052.446,47.162,522.1,2388.024,8139.16,8.40924,392,39.012,23.4161
641.864,1584.514,1399.152,554.352,2388.01,9053.322,47.208,522.214,2388.03,8138.572,8.40916,391.6,39.026,23.4415
641.866,1585.506,1399.378,554.466,2388.002,9053.218,47.234,522.374,2388.036,8140.268,8.40732,391.4,39.038,23.44018
641.878,1585.004,1399.308,554.428,2388.006,9053.918,47.27,522.304,2388.022,8138.972,8.38864,391.2,39.042,23.46792
641.956,1583.402,1399.516,554.322,2388,9056.012,47.218,522.26,2388.03,8138.14,8.38756,391.2,39.046,23.4739
642.048,1585.082,1399.166,554.19,2388,9057.28,47.234,522.262,2388.03,8137.096,8.38708,391,39.034,23.45012
642.104,1586.288,1399.824,554.376,2388.018,9056.864,47.228,522.084,2388.004,8137.454,8.38658,391.2,39.026,23.44408
642.118,1585.362,1399.058,554.204,2388.022,9057.64,47.194,522.01,2387.996,8138.178,8.38402,391.2,39.016,23.4382
642.258,1585.052,1398.924,554.22,2388.03,9058.176,47.14,522.014,2388.008,8139.224,8.40194,391.4,39.046,23.4125
642.136,1585.528,1398.652,554.22,2388.04,9056.652,47.154,522.044,2387.998,8140.86,8.39544,391.8,39.026,23.38944
642.11,1584.688,1398.154,554.326,2388.048,9056.53,47.15,522.084,2387.988,8141.014,8.38916,391.2,39.034,23.39202
642.17,1584.504,1397.872,554.332,2388.04,9056.454,47.162,522.198,2388.018,8141.132,8.39096,391,39.034,23.41582
642.104,1585.856,1399.114,554.344,2388.04,9054.834,47.198,522.21,2388.024,8139.52,8.3966,391,39.058,23.38102
642.008,1586.812,1400.574,554.516,2388.036,9054.014,47.208,522.232,2388.024,8138.632,8.38836,390.6,39.06,23.36698
642.06,1587.688,1401.978,554.576,2388.042,9054.586,47.202,522.36,2388.032,8137.226,8.39214,390.6,39.082,23.3821
642.068,1586.128,1401.002,554.616,2388.032,9055.608,47.244,522.376,2388.032,8137.368,8.39538,391.2,39.078,23.38082
642.002,1585.712,1399.93,554.57,2388.024,9054.808,47.272,522.368,2388.03,8135.998,8.40038,391.4,39.046,23.36302
641.964,1584.756,1398.932,554.53,2388.026,9056.266,47.266,522.314,2388.038,8136.63,8.40182,391.6,39.02,23.38684
641.992,1584.898,1398.276,554.364,2388.034,9056.016,47.292,522.316,2388.036,8137.074,8.40906,391.8,38.996,23.42308
642.024,1584.494,1397.69,554.4,2388.024,9056.38,47.288,522.226,2388.042,8136.958,8.40852,391.6,38.988,23.40786
642.016,1586.092,1398.884,554.264,2388.02,9054.05,47.276,522.224,2388.046,8137.278,8.40848,391.4,39.022,23.41454
642.016,1586.53,1398.658,554.294,2388.03,9054.402,47.284,522.212,2388.04,8137.896,8.4013,391.4,39.04,23.41364
642.062,1586.626,1399.226,554.264,2388.028,9054.924,47.264,522.226,2388.034,8137.46,8.4009,391.4,39.034,23.4026
642.106,1585.152,1399.436,554.226,2388.026,9055.812,47.23,522.198,2388.038,8138.05,8.40606,391.2,39.07,23.39402
642.162,1584.024,1398.932,554.174,2388.03,9055.314,47.22,522.22,2388.024,8138.462,8.39776,391.4,39.056,23.38754
642.132,1582.476,1399.152,554.28,2388.036,9056.838,47.192,522.192,2388.04,8138.11,8.39804,391.8,39.038,23.3834
642.15,1582.294,1400.03,554.288,2388.016,9058.288,47.162,522.302,2388.032,8139.886,8.39492,392,39.028,23.38462
642.128,1582.686,1400.284,554.476,2388.012,9056.784,47.192,522.412,2388.034,8139.752,8.39978,392,39.068,23.3893
642.086,1583.202,1398.658,554.568,2388.002,9056.42,47.244,522.404,2388.044,8139.948,8.38874,392.6,39.008,23.39034
642.034,1584.854,1400.186,554.528,2388.008,9057.966,47.278,522.268,2388.046,8140.044,8.39602,392.6,39.042,23.4002
642.084,1585.802,1399.562,554.516,2388.008,9056.108,47.288,522.266,2388.054,8140.258,8.40072,392.2,39.034,23.4079
642.066,1587.366,1398.2,554.372,2388.026,9055.994,47.252,522.126,2388.052,8139.588,8.40562,392.4,39.006,23.39974
642.082,1586.828,1399.522,554.264,2388.034,9057.126,47.234,522.034,2388.058,8139.398,8.40384,392.2,38.986,23.4106
642.118,1587.166,1400.864,554.268,2388.034,9057.636,47.228,521.982,2388.052,8138.952,8.40312,392.2,39.02,23.4033
642.264,1586.24,1399.72,554.238,2388.05,9055.852,47.26,522.074,2388.072,8139.928,8.40756,391.8,39.014,23.41822
642.086,1587.328,1398.326,554.26,2388.056,9058.624,47.296,522.066,2388.054,8139.234,8.4058,391.8,39.004,23.40768
642.074,1587.898,1399.406,554.362,2388.05,9059.07,47.318,522.082,2388.054,8139.008,8.40286,391.2,39.064,23.41258
642.186,1588.544,1398.55,554.402,2388.056,9059.66,47.33,521.99,2388.04,8139.514,8.39826,391.2,39.034,23.42362
642.108,1586.7,1397.776,554.426,2388.056,9059.22,47.284,521.996,2388.036,8140.564,8.40252,390.6,39.012,23.418
641.962,1586.616,1397.106,554.372,2388.046,9059.05,47.258,522.01,2388.02,8140.002,8.4058,390.6,38.966,23.40446
642.098,1584.846,1397.726,554.366,2388.034,9057.916,47.258,522.068,2388.01,8140.836,8.40934,390.6,39.004,23.40446
642.148,1583.128,1399.096,554.406,2388.04,9056.12,47.288,522.114,2388.01,8140.774,8.41142,390.8,38.978,23.39416
642.062,1582.888,1401.164,554.342,2388.024,9055.91,47.266,522.184,2388.022,8142.442,8.42332,391.2,39.028,23.38234
642.036,1582.77,1401.536,554.196,2388.028,9057.874,47.306,522.21,2388.03,8141.266,8.42128,391.4,39.028,23.37256
642.074,1582.802,1401.426,554.26,2388.008,9058.632,47.32,522.224,2388.04,8141.688,8.41856,391.6,39.06,23.36868
642.014,1584.602,1402.056,554.294,2388.014,9058.638,47.284,522.136,2388.054,8141.334,8.41236,391.4,39.026,23.37142
641.95,1584.674,1401.392,554.338,2388.008,9059.896,47.284,522.134,2388.064,8141.632,8.41668,391.6,39.022,23.38042
641.904,1585.448,1399.228,554.376,2388.012,9060.646,47.254,522.204,2388.064,8139.97,8.40658,391.2,39.002,23.36962
641.984,1586.766,1397.804,554.352,2388.004,9058.82,47.246,522.326,2388.062,8139.56,8.41276,391.2,39.034,23.37872
641.982,1586.32,1397.778,554.104,2388.002,9059.04,47.236,522.41,2388.044,8139.498,8.40022,391.4,39.076,23.38192
642.09,1584.186,1399.36,554.03,2388.002,9059.456,47.262,522.342,2388.052,8139.614,8.40132,391.6,39.076,23.37098
642.264,1584.494,1399.594,553.92,2388,9056.842,47.252,522.298,2388.046,8139.24,8.4002,391.2,39.06,23.37788
642.324,1584.644,1400.114,553.988,2388.002,9056.35,47.29,522.228,2388.042,8140.072,8.40066,391.6,39.052,23.3909
642.278,1584.162,1400.714,554.062,2388.01,9056.628,47.304,522.094,2388.038,8141.912,8.3952,392,38.998,23.39826
642.306,1584.386,1401.634,554.45,2388.034,9055.344,47.286,521.98,2388.048,8142.078,8.4018,391.8,38.93,23.39518
642.302,1585.846,1399.5,554.496,2388.046,9055.716,47.268,522.018,2388.032,8143.202,8.40342,391.8,38.954,23.40988
642.176,1584.396,1397.458,554.444,2388.048,9059.342,47.268,522.014,2388.038,8144.274,8.3957,392.2,38.924,23.37762
642.288,1583.862,1397.154,554.342,2388.054,9057.934,47.278,521.942,2388.036,8143.036,8.39636,392.2,38.898,23.35746
642.346,1584.502,1396.634,554.39,2388.06,9060.434,47.304,521.96,2388.034,8142.916,8.40658,391.8,38.894,23.33974
642.336,1584.356,1397.592,554.284,2388.06,9062.166,47.286,522.026,2388.03,8141.572,8.41064,391.8,38.902,23.35388
642.322,1583.786,1399.594,554.182,2388.048,9061.132,47.338,522.04,2388.036,8139.864,8.40852,391.6,38.904,23.35592
642.374,1584.308,1400.952,554.196,2388.06,9059.892,47.354,522.002,2388.04,8139.186,8.41532,391.8,38.954,23.36998
642.224,1584.866,1399.78,554.134,2388.056,9062.252,47.348,522.106,2388.048,8140.52,8.41626,391.6,38.986,23.3895
642.21,1584.484,1400.884,554.116,2388.05,9061.018,47.336,522.058,2388.052,8140.514,8.40668,392,39.022,23.40362
642.246,1586.388,1399.452,554.08,2388.042,9060.518,47.364,521.982,2388.056,8142.996,8.40384,392.4,39.024,23.39754
642.194,1585.864,1400.174,554.118,2388.048,9061.762,47.314,522.016,2388.056,8144.32,8.40864,393,39.01,23.39244
642.016,1587.126,1401.92,554.132,2388.046,9061.972,47.308,522.062,2388.056,8144.224,8.40804,392.8,38.962,23.39824
642.088,1586.158,1403.01,554.24,2388.05,9060.994,47.296,522.028,2388.054,8144.742,8.40186,393,38.974,23.3721
642.086,1587.462,1403.216,554.042,2388.064,9061.294,47.292,521.984,2388.052,8144.79,8.40364,393,38.978,23.37326
642.09,1586.032,1403.13,553.92,2388.052,9060.926,47.284,522.02,2388.056,8142.706,8.4067,392.6,38.982,23.3647
642.26,1586.952,1401.204,553.876,2388.046,9060.542,47.304,521.962,2388.06,8143.836,8.40114,392.8,38.978,23.37516
642.39,1585.978,1400.52,553.898,2388.036,9060.538,47.288,521.78,2388.052,8144.002,8.40514,392.8,39.022,23.39652
642.396,1586.96,1400.984,553.696,2388.038,9060.712,47.3,521.754,2388.058,8144.046,8.41046,392.6,39.018,23.39142
642.45,1586.458,1402.19,553.78,2388.036,9060.002,47.278,521.768,2388.056,8142.282,8.41736,392.2,38.982,23.39122
642.468,1587.452,1403.834,553.928,2388.056,9060.968,47.298,521.87,2388.056,8143.126,8.42064,392.4,38.954,23.37702
642.388,1587.72,1406.028,553.934,2388.052,9061.746,47.334,521.916,2388.048,8142.336,8.4315,392.4,38.902,23.36956
642.496,1589.764,1405.796,553.866,2388.052,9062.118,47.356,522.022,2388.06,8141.92,8.42994,392.6,38.898,23.33276
642.49,1589.102,1406.378,554,2388.048,9061.116,47.36,522.048,2388.052,8141.59,8.43246,392.8,38.87,23.35534
642.438,1590.368,1404.668,554.192,2388.038,9061.382,47.36,522.07,2388.05,8142.05,8.42974,393,38.88,23.33106
642.388,1589.75,1403.58,554.152,2388.034,9062.534,47.364,521.866,2388.046,8142.156,8.42732,392.6,38.888,23.33054
642.386,1588.064,1402.84,554.286,2388.04,9063.384,47.324,521.836,2388.058,8141.812,8.42076,392,38.892,23.30996
642.47,1587.974,1403.194,554.362,2388.04,9063.618,47.302,521.846,2388.048,8143.15,8.42052,391.8,38.884,23.33334
642.47,1586.978,1403.238,554.368,2388.04,9066.432,47.314,521.734,2388.044,8143.614,8.4184,391.6,38.868,23.31256
642.348,1585.784,1403.682,554.106,2388.048,9066.802,47.33,521.764,2388.044,8144.41,8.42008,391.8,38.844,23.32542
642.388,1586.792,1403.244,554.05,2388.05,9065.656,47.34,521.892,2388.048,8144.04,8.41674,392.2,38.864,23.3273
642.336,1588.584,1401.894,553.766,2388.058,9064.834,47.32,521.846,2388.046,8145,8.41932,392.6,38.912,23.33688
642.27,1587.466,1401.874,553.784,2388.066,9064.746,47.37,521.964,2388.052,8143.684,8.42168,392.6,38.89,23.31634
642.346,1587.348,1401.356,553.776,2388.07,9063.992,47.368,522.004,2388.068,8145.218,8.42988,392.8,38.91,23.30536
642.566,1586.98,1403.072,553.906,2388.062,9064.342,47.38,521.916,2388.08,8145.506,8.42578,392.6,38.99,23.31536
642.608,1586.388,1402.634,553.826,2388.06,9065.14,47.368,521.814,2388.08,8145.246,8.4182,392.4,38.98,23.33768
642.594,1586.29,1404.682,553.956,2388.072,9065.146,47.37,521.81,2388.078,8144.268,8.42012,392.4,38.954,23.335
642.412,1587.646,1404.932,553.736,2388.064,9065.186,47.32,521.72,2388.08,8145.334,8.41514,392.8,38.96,23.33568
642.374,1589.49,1404.738,553.75,2388.07,9064.462,47.344,521.716,2388.074,8142.96,8.41196,392.8,38.974,23.34598
642.268,1590.048,1404.08,553.684,2388.094,9063.482,47.328,521.78,2388.076,8143.384,8.40792,393,38.91,23.32054
642.27,1590.078,1405.804,553.782,2388.094,9062.314,47.362,521.746,2388.078,8144.468,8.4175,393.4,38.928,23.29074
642.308,1589.19,1406.464,553.658,2388.076,9063.88,47.394,521.76,2388.07,8146.334,8.41468,393.2,38.95,23.28594
642.344,1587.406,1406.304,553.696,2388.09,9064.09,47.372,521.78,2388.056,8146.648,8.41586,392.8,38.958,23.29134
642.288,1586.432,1406.726,553.582,2388.082,9065.284,47.364,521.634,2388.056,8147.18,8.41418,392.8,38.916,23.31694
642.498,1586.622,1406.478,553.58,2388.062,9066.464,47.388,521.516,2388.048,8147.15,8.42308,392.4,38.894,23.33192
642.334,1585.124,1406.51,553.54,2388.072,9068.848,47.366,521.542,2388.036,8147.716,8.42476,392.2,38.84,23.3379
642.288,1584.658,1404.62,553.772,2388.07,9069.68,47.39,521.576,2388.044,8146.64,8.42284,392,38.826,23.32634
642.438,1584.36,1405.426,553.812,2388.06,9070.244,47.47,521.406,2388.052,8147.202,8.41896,392.6,38.804,23.32834
642.546,1586.222,1405.998,553.59,2388.056,9069.41,47.466,521.5,2388.052,8147.476,8.42304,392.4,38.792,23.3101
642.402,1586.352,1408.262,553.542,2388.062,9071.302,47.466,521.612,2388.046,8148.47,8.42896,393,38.83,23.31252
642.65,1587.64,1408.806,553.336,2388.052,9071.116,47.532,521.538,2388.062,8148.178,8.41942,393.4,38.826,23.32562
642.824,1587.98,1408.798,553.134,2388.064,9069.774,47.544,521.438,2388.064,8148.124,8.42732,394,38.826,23.32698
642.796,1589.374,1409.758,553.178,2388.078,9070.992,47.564,521.546,2388.064,8148.554,8.4376,393.4,38.818,23.32728
642.752,1588.324,1409.78,553.326,2388.09,9072.566,47.578,521.51,2388.066,8149.002,8.4357,393.6,38.858,23.3474
642.826,1588.904,1407.02,553.428,2388.088,9071.188,47.616,521.426,2388.082,8149.512,8.42586,393.6,38.846,23.33636
642.78,1588.878,1406.98,553.6,2388.094,9071.134,47.59,521.52,2388.092,8149.648,8.4353,393.4,38.836,23.32316
642.846,1590.302,1408.498,553.602,2388.1,9072.11,47.59,521.448,2388.088,8150.56,8.4392,393.4,38.78,23.33502
642.86,1587.664,1406.608,553.494,2388.092,9071.846,47.612,521.372,2388.092,8150.12,8.4348,393.4,38.816,23.34548
643.03,1587.556,1407.968,553.522,2388.09,9072.234,47.618,521.37,2388.094,8150.218,8.44654,393.6,38.808,23.3217
643.02,1587.816,1408.898,553.444,2388.084,9073.558,47.626,521.31,2388.094,8149.442,8.45238,393.2,38.794,23.29998
643.01,1588.756,1408.464,553.328,2388.078,9073.292,47.634,521.284,2388.07,8151.25,8.45698,392.8,38.826,23.3038
642.874,1590.884,1409.268,553.432,2388.072,9074.012,47.626,521.278,2388.072,8151.042,8.45834,392.6,38.876,23.28992
642.836,1593.948,1411.618,553.582,2388.08,9074.244,47.612,521.306,2388.072,8150.102,8.46948,393,38.848,23.28102
642.654,1595.588,1411.376,553.612,2388.064,9072.76,47.624,521.342,2388.076,8150.914,8.45248,392.6,38.846,23.2949
642.664,1595.3,1412.696,553.53,2388.07,9074.132,47.584,521.332,2388.076,8152.178,8.45296,392.8,38.842,23.30168
642.642,1593.47,1414.43,553.46,2388.068,9074.62,47.568,521.208,2388.086,8151.53,8.44726,393.6,38.836,23.30506
642.67,1590.682,1413.474,553.416,2388.068,9075.444,47.586,521.246,2388.092,8151.942,8.43974,393.8,38.81,23.3028
642.72,1590.792,1412.732,553.12,2388.072,9076.284,47.598,521.166,2388.098,8152.89,8.43492,393.6,38.786,23.29274
